Food Code,Food Name,Group,Vitamin D (µg),Vitamin E (mg),Vitamin K1 (µg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Tryptophan/60 (mg),Niacin equivalent (mg),Vitamin B6 (mg),Vitamin B12 (µg),Folate (µg),Pantothenate (mg),Biotin (µg),Vitamin C (mg),,,,,,,,,,,,,,,,,,,,,,,
13-145,"Ackee, canned, drained",DG,0,N,,0.03,0.07,0.6,0.5,1.1,0.06,0,41,N,N,30,,,,,,,,,,,,,,,,,,,,,,,
13-146,"Agar, dried",DG,0,Tr,,0.01,0.22,0.2,N,N,Tr,0,0,Tr,Tr,0,,,,,,,,,,,,,,,,,,,,,,,
13-147,"Agar, dried, soaked and drained",DG,0,Tr,,0.01,0.04,0.1,N,N,Tr,0,0,Tr,Tr,0,,,,,,,,,,,,,,,,,,,,,,,
13-148,"Alfalfa sprouts, raw",DG,0,N,,0.04,0.06,0.5,0.6,1.1,0.03,0,36,0.56,N,2,,,,,,,,,,,,,,,,,,,,,,,
13-801,"Allspice, ground",H,0,N,,0.1,0.06,2.9,N,N,N,0,0,N,N,0,,,,,,,,,,,,,,,,,,,,,,,
14-870,"Almonds, flaked and ground",GA,0,23.96,,0.21,0.75,3.1,3.4,6.5,0.15,0,48,0.44,64,0,,,,,,,,,,,,,,,,,,,,,,,
14-897,"Almonds, toasted",GA,0,23.9,0,0.08,1.2,3.6,3.5,7.1,0.14,0,55,0.32,49,0,,,,,,,,,,,,,,,,,,,,,,,
14-898,"Almonds, weighed with shells",GA,0,9.48,0,0.08,0.42,1.3,1.3,2.6,0.05,0,16,0.17,23.7,0,,,,,,,,,,,,,,,,,,,,,,,
14-896,"Almonds, whole kernels",GA,0,25.63,0,0.21,1.14,3.6,3.4,7,0.14,0,44,0.47,64,0,,,,,,,,,,,,,,,,,,,,,,,
13-150,"Amaranth leaves, boiled in unsalted water",DG,0,N,,0.03,0.16,0.7,0.8,1.5,N,0,51,N,N,31,,,,,,,,,,,,,,,,,,,,,,,
13-149,"Amaranth leaves, raw",DG,0,N,,0.07,0.22,0.7,0.9,1.6,N,0,85,N,N,42,,,,,,,,,,,,,,,,,,,,,,,
14-001,Amla,FA,0,N,,0.03,0.01,0.2,N,N,N,0,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
16-448,"Anchovies, canned in oil, drained",JC,N,N,,Tr,0.1,3.8,4.7,8.5,N,11,18,N,N,Tr,,,,,,,,,,,,,,,,,,,,,,,
13-802,Anise seeds,H,0,N,,N,N,N,N,N,N,0,0,N,N,0,,,,,,,,,,,,,,,,,,,,,,,
14-272,"Apple juice concentrate, unsweetened, commerical",PE,0,0.02,,0.01,0.02,0.7,0.1,0.8,0.07,0,1,0.22,2,49,,,,,,,,,,,,,,,,,,,,,,,
